Language,Threads,Tasks,Repetition,Energy_Joules,Peak_Memory_KB_RSS,Real_Time_Seconds
c_zig_cc,64,1000,6,73.56,1032,.25000000000000000000
c_zig_cc,64,1000,7,73.53,1024,.26000000000000000000
c_zig_cc,64,1000,8,73.39,1084,.25000000000000000000
c_zig_cc,64,1000,9,76.74,1024,.26000000000000000000
c_zig_cc,64,1000,10,73.58,1068,.26000000000000000000
c_zig_cc,2,10000,1,26.73,1084,.21000000000000000000
c_zig_cc,2,10000,2,21.93,1028,.21000000000000000000
c_zig_cc,2,10000,3,26.12,1068,.24000000000000000000
c_zig_cc,2,10000,4,24.55,1024,.23000000000000000000
c_zig_cc,2,10000,5,23.01,1064,.22000000000000000000
c_zig_cc,2,10000,6,23.16,1080,.22000000000000000000
c_zig_cc,2,10000,7,22.81,1024,.21000000000000000000
c_zig_cc,2,10000,8,23.06,1028,.23000000000000000000
c_zig_cc,2,10000,9,24.70,1024,.23000000000000000000
c_zig_cc,2,10000,10,23.15,1064,.23000000000000000000
c_zig_cc,4,10000,1,25.84,1052,.23000000000000000000
c_zig_cc,4,10000,2,25.11,1072,.22000000000000000000
c_zig_cc,4,10000,3,25.23,1024,.23000000000000000000
c_zig_cc,4,10000,4,25.83,1060,.22000000000000000000
c_zig_cc,4,10000,5,25.49,1080,.23000000000000000000
c_zig_cc,4,10000,6,25.40,1080,.22000000000000000000
c_zig_cc,4,10000,7,25.44,1056,.22000000000000000000
c_zig_cc,4,10000,8,25.81,0,.23000000000000000000
c_zig_cc,4,10000,9,25.54,1080,.22000000000000000000
c_zig_cc,4,10000,10,24.97,1032,.22000000000000000000
c_zig_cc,8,10000,1,28.99,1064,.24000000000000000000
c_zig_cc,8,10000,2,28.78,1080,.23000000000000000000
c_zig_cc,8,10000,3,28.57,1084,.23000000000000000000
c_zig_cc,8,10000,4,28.45,0,.24000000000000000000
c_zig_cc,8,10000,5,28.42,1028,.24000000000000000000
c_zig_cc,8,10000,6,28.42,1040,.24000000000000000000
c_zig_cc,8,10000,7,28.51,1080,.24000000000000000000
c_zig_cc,8,10000,8,28.26,1080,.23000000000000000000
c_zig_cc,8,10000,9,28.46,1072,.23000000000000000000
c_zig_cc,8,10000,10,28.64,1084,.24000000000000000000
c_zig_cc,16,10000,1,36.66,1072,.24000000000000000000
c_zig_cc,16,10000,2,36.33,1084,.24000000000000000000
c_zig_cc,16,10000,3,36.85,0,.24000000000000000000
c_zig_cc,16,10000,4,36.14,1072,.23000000000000000000
c_zig_cc,16,10000,5,36.41,1040,.23000000000000000000
c_zig_cc,16,10000,6,36.44,1024,.24000000000000000000
c_zig_cc,16,10000,7,36.06,0,.24000000000000000000
c_zig_cc,16,10000,8,36.51,1072,.24000000000000000000
c_zig_cc,16,10000,9,36.45,0,.23000000000000000000
c_zig_cc,16,10000,10,36.29,1032,.24000000000000000000
c_zig_cc,32,10000,1,51.41,1084,.24000000000000000000
c_zig_cc,32,10000,2,50.99,1056,.24000000000000000000
